	PVP01_0616100	PVP01_1208000	PVP01_1208100	PVP01_1119500	PVP01_1215900	PVP01_1320100	PVP01_0820000	PVP01_0904300	PVP01_1003000	PVP01_1125200	PVP01_1223200	PVP01_0814300	PVP01_1403000	PVP01_0734100	PVP01_1452800	PVP01_1258000	PVP01_0305600	PVP01_0415800	PVP01_0727400	PVP01_1128100	PVP01_1302200
PVP01_0616100	1	-0.081648565	-0.042099205	0.077909903	0.104097162	0.127214582	0.38949501	0.269355449	0.585573098	0.679855479	0.301317224	-0.052122698	0.7873743	0.209189662	0.447471713	-0.115131408	0.007560274	0.165633885	-0.041711575	-0.001527154	-0.068256038
PVP01_1208000	-0.081648565	1	0.933530625	0.529301755	0.576817346	0.449681287	-0.143285526	-0.178618647	-0.364277249	0.010735077	0.135084639	0.898014502	-0.022167212	-0.275245214	-0.358710088	0.885253202	0.963775545	-0.006259413	-0.310547506	0.018765293	0.09292211
PVP01_1208100	-0.042099205	0.933530625	1	0.607168039	0.682228829	0.576712257	-0.050321615	-0.172120083	-0.31856649	-0.026532368	0.262313243	0.862295504	-0.124601419	-0.269262241	-0.305972471	0.812398703	0.912465124	-0.032346021	-0.321031774	0.10714318	0.26519628
PVP01_1119500	0.077909903	0.529301755	0.607168039	1	0.938356946	0.956612233	0.071992809	0.050483894	-0.38425621	-0.036180862	-0.128253174	0.373509664	-0.142024901	-0.219384167	-0.278420994	0.220015221	0.437539999	-0.139443625	-0.351772171	0.020258749	0.213479009
PVP01_1215900	0.104097162	0.576817346	0.682228829	0.938356946	1	0.967182747	0.11236288	-0.012195612	-0.351652943	-0.011314203	-0.062013237	0.44258099	-0.157871809	-0.174908135	-0.216976893	0.306983561	0.506093633	-0.130522705	-0.343078644	0.129239142	0.328476503
PVP01_1320100	0.127214582	0.449681287	0.576712257	0.956612233	0.967182747	1	0.205388535	0.064761546	-0.332670704	0.052569513	-0.085024342	0.309712431	-0.134025916	-0.167803212	-0.169754592	0.159729876	0.375666826	-0.126069922	-0.349880615	0.113913086	0.274214892
PVP01_0820000	0.38949501	-0.143285526	-0.050321615	0.071992809	0.11236288	0.205388535	1	0.118363926	0.32539669	0.385893238	0.057804102	-0.216658853	0.31089431	0.379184149	0.502091244	-0.222362512	-0.133560992	-0.118928408	0.086481121	0.3004605	0.243026102
PVP01_0904300	0.269355449	-0.178618647	-0.172120083	0.050483894	-0.012195612	0.064761546	0.118363926	1	0.300998396	0.498534473	0.30979726	-0.218800549	0.436683031	0.631834537	0.613792781	-0.154893182	-0.219283691	0.746600829	0.228311397	0.488739205	0.177372933
PVP01_1003000	0.585573098	-0.364277249	-0.31856649	-0.38425621	-0.351652943	-0.332670704	0.32539669	0.300998396	1	0.44427346	0.260925843	-0.225399738	0.642268166	0.541920309	0.749581739	-0.173421113	-0.225172247	0.170466829	0.360814152	0.322834623	0.210663906
PVP01_1125200	0.679855479	0.010735077	-0.026532368	-0.036180862	-0.011314203	0.052569513	0.385893238	0.498534473	0.44427346	1	0.432093401	0.060398071	0.864749124	0.242439927	0.498997711	0.076658249	0.081600434	0.414207692	0.081016306	0.071583532	-0.137254781
PVP01_1223200	0.301317224	0.135084639	0.262313243	-0.128253174	-0.062013237	-0.085024342	0.057804102	0.30979726	0.260925843	0.432093401	1	0.299204034	0.30489906	0.103408981	0.140899483	0.27363007	0.196718389	0.253744695	0.227407773	-0.025336257	0.162641208
PVP01_0814300	-0.052122698	0.898014502	0.862295504	0.373509664	0.44258099	0.309712431	-0.216658853	-0.218800549	-0.225399738	0.060398071	0.299204034	1	0.026379469	-0.341957378	-0.37298981	0.950110247	0.961328245	0.024839413	-0.131746182	-0.105652793	0.137838312
PVP01_1403000	0.7873743	-0.022167212	-0.124601419	-0.142024901	-0.157871809	-0.134025916	0.31089431	0.436683031	0.642268166	0.864749124	0.30489906	0.026379469	1	0.305967036	0.560915589	0.075533833	0.066509477	0.388617287	0.09065768	0.054454206	-0.177332484
PVP01_0734100	0.209189662	-0.275245214	-0.269262241	-0.219384167	-0.174908135	-0.167803212	0.379184149	0.631834537	0.541920309	0.242439927	0.103408981	-0.341957378	0.305967036	1	0.776285946	-0.216441929	-0.300807338	0.397958503	0.521289051	0.685862164	0.37994346
PVP01_1452800	0.447471713	-0.358710088	-0.305972471	-0.278420994	-0.216976893	-0.169754592	0.502091244	0.613792781	0.749581739	0.498997711	0.140899483	-0.37298981	0.560915589	0.776285946	1	-0.263177881	-0.320486483	0.477455206	0.259566346	0.690176875	0.283290535
