id	0%troph	20%troph	40%troph	60%troph	80%troph	100%troph
PVP01_1146900	157.2018315	185.1487384	94.87351411	45.36601008	128.5041129	87.36104721
PVP01_1146800	60.25139291	170.3828436	39.9543921	216.1669133	173.6562603	209.6735004
PVP01_1146700	0	14.13145048	1291.875506	170.8222445	686.9945048	1216.38947
PVP01_1146600	0	0	43.67116889	0	0	43.67116889
PVP01_1146400	0	0	491.6430611	565.5039528	565.5039528	934.9441143
PVP01_1146300	1348.974578	1600.354555	1056.769795	1151.00764	1198.980037	1140.64818
PVP01_1146200	106.0238342	81.12265237	276.9169603	576.5658231	605.0509403	703.4485628
PVP01_1146100	9.041429917	136.5949038	105.0274046	201.8747616	219.6497837	513.9158916
PVP01_1146000	179.4986938	311.2547166	623.2320917	931.0492888	1244.461861	1238.118524
PVP01_1145900	121.6776388	158.4340564	627.5158026	606.5208422	606.2850049	871.7515864
PVP01_1145800	162.9160503	605.0843406	1598.551922	1797.599849	2099.413849	3074.38226
PVP01_1145700	0	387.2999602	818.6535682	1334.736926	1707.377526	1713.2748
PVP01_1145600	0	122.0082702	400.1797417	190.0050496	253.1960149	662.3802409
PVP01_1145500	48.67984733	32.49433742	256.4036669	184.6878906	260.5019467	399.565509
PVP01_1145400	0	0	0	348.6753384	348.6753384	542.0939957
PVP01_1145300	1.000994021	1.000994021	6.93884848	11.01192467	17.95077315	31.25818709
PVP01_1145200	188.4699382	89.55634302	206.4443091	154.6329915	303.4070885	118.3356394
PVP01_1145100	181.9929083	466.1016204	1048.876467	1146.448611	1382.046493	1717.319911
PVP01_1145000	47.06151864	47.06151864	271.8234819	25.04605657	72.10757521	249.8080199
PVP01_1144900	44.74248994	212.3867295	137.0169858	141.2696539	294.3757881	295.2780651
PVP01_1144800	3325.49127	3841.985222	2622.123461	1920.46288	1360.808282	1087.704259
PVP01_1144700	0	2186.471467	2843.88434	3537.639702	4541.456254	5677.63845
PVP01_1144600	0	109.0828743	203.9353246	188.4719038	232.7489614	241.154604
PVP01_1144500	0	0	0	20.0147646	20.0147646	20.0147646
PVP01_1144400	266.467467	278.9069732	358.2298401	454.9310989	422.0033344	407.2538392
PVP01_1144200	0	97.21171377	623.9549575	510.6778577	658.6042836	617.0301676
PVP01_1144100	23.81555642	46.16609315	42.93844006	34.51897061	43.71146495	46.37707173
PVP01_1144000	0	0	339.1894078	1347.323823	1762.300396	1762.300396
PVP01_1143800	1731.706098	1200.950845	1754.037282	1961.302119	2235.348784	2306.671115
PVP01_1143700	648.402334	1720.324448	2456.791914	1128.649041	2165.404438	2977.199856
PVP01_1143600	1139.799241	958.8404284	3321.528943	1327.525043	3533.798848	3819.959191
PVP01_1143500	8.34949883	8.34949883	76.34793199	0	67.99843316	0
PVP01_1143400	123.8871885	193.5823162	190.9024531	117.4440348	225.2524346	296.2257644
PVP01_1143300	123.9804679	331.9954816	284.0912279	455.833329	320.6449778	382.0992973
PVP01_1143200	0	0	105.6889943	105.6889943	105.6889943	169.8418271
PVP01_1143100	1176.584261	784.4136814	990.0702785	408.9119955	643.1991944	411.9144884
PVP01_1143000	2.198520505	2724.149871	3216.247857	2070.170352	4098.363041	4689.223767
PVP01_1142900	726.3529376	935.5008857	472.4088713	925.0729303	628.102174	647.0460316
PVP01_1142800	586.6329871	281.7130314	1730.308277	799.8683967	2220.06386	2247.744292
PVP01_1142700	6256.920757	8208.520053	6537.985971	10316.43707	6576.20351	5581.883304
PVP01_1142500	36.45445384	36.45445384	0	0	5.745156122	5.745156122
PVP01_1142400	174.5717698	287.5303179	544.320698	589.8158613	519.1290576	891.3488778
PVP01_1142300	104.6773008	94.46648711	226.1314859	160.196336	369.9370398	227.6870663
PVP01_1142200	177.1259539	557.0567511	981.1247979	1040.923485	1669.581715	1901.010776
PVP01_1142100	0	133.3333357	936.400626	1499.393593	1928.612788	2612.668007
PVP01_1142000	0	184.3462206	505.481764	404.1288128	560.2229679	698.2203093
PVP01_1141900	0	0	0	0	36.53330047	36.53330047
PVP01_1141800	0	110.4540233	157.3097287	431.1189916	371.00403	496.8920378
PVP01_1141700	0	355.1649113	572.9452108	592.3331843	911.4954079	1129.091313
PVP01_1141600	2518.538926	2048.481684	2713.591592	2653.357936	2969.770134	2799.904312
PVP01_1141500	41.64195875	15.36557694	344.5812265	240.2094715	299.0034227	421.1283861
PVP01_1141400	141.2772906	246.7184177	489.0273908	262.4214161	380.9684382	645.5572257
PVP01_1141300	868.185193	994.548205	1129.098863	1178.983128	1669.938155	1719.742718
PVP01_1141200	52.57859503	126.9076543	189.8147918	788.1818497	1127.953711	1122.41199
PVP01_1141100	36.34307311	13.00710938	344.1044999	231.570519	270.0183805	426.9088198
PVP01_1141000	27.02033135	276.4175796	880.7050982	1610.267732	3485.519958	3735.0169
PVP01_1140900	0	53.90272222	281.8814569	247.9989891	465.6290297	550.3981698
PVP01_1140800	0	19.50386915	325.9875976	817.7684001	846.3235407	906.2075748
PVP01_1140500	5390.703862	8925.345884	10539.7828	9158.06497	13358.09165	14486.0918
PVP01_1140400	0	1664.134496	4176.12806	5451.625522	7335.265822	10648.03485
PVP01_1140200	250.5056153	304.6050152	1032.576295	1039.35104	1568.054335	1832.542995
PVP01_1140100	1923.364171	756.9774398	4022.972691	1864.035283	4323.318742	4475.926959
