gene_ID	X0h	X8h	X16h	X24h	X32h	X40h	X48h
PVP01_0211700	16.25510073	10.89767459	12.6012417	11.35351269	31.82636638	32.00556431	24.69754144
PVP01_0210900	25.51876029	27.67816467	17.38971355	15.81661768	70.7153253	98.26784882	115.2099598
PVP01_0210500	256.4111051	170.8909679	85.31040632	344.2854849	390.945787	716.7484631	1165.262573
PVP01_0210300	59.95160807	37.32212448	53.05122757	89.73190033	108.6208853	67.43680063	81.82756861
PVP01_0209900	161.5022911	112.8343298	43.09624662	102.5731147	247.995338	182.9308859	229.4700141
PVP01_0208900	89.57784004	39.73311443	26.96665724	53.94876032	64.54673182	79.37771453	43.42424868
PVP01_0208800	91.23830732	35.10401372	23.31229715	33.43413738	57.8417389	187.237445	81.42046628
PVP01_0207200	30.9371272	20.44519481	16.63363905	49.95545585	68.12272804	44.92524164	26.86875387
PVP01_0206500	40660.38662	19088.28966	10554.42201	418.3573677	182.0182077	438.9754004	3892.16969
PVP01_0206100	887.039099	788.3937148	180.1977563	122.539637	136.6030557	2147.504852	4239.970781
PVP01_0205700	65.98172608	26.90664788	45.11244529	220.2581463	93.42290132	31.71193528	23.34053367
PVP01_0205000	96.91885328	83.42025239	105.7244179	151.9804699	223.5891638	83.09701559	73.14271887
PVP01_0204000	8.739301468	12.82646655	12.6012417	16.12981803	12.15838716	20.35827944	13.57007771
PVP01_0203500	26.91704852	32.59658417	58.09172425	105.548518	212.8611752	78.00744573	45.73116189
PVP01_0422600	12770.56645	12834.47104	10396.0244	4291.392898	680.9590807	3592.45331	18840.28879
PVP01_0422400	55.05759925	18.99860083	21.67413573	67.33807529	68.92732719	72.33061781	58.21563339
PVP01_0422200	17.21642389	14.27306052	12.97927895	21.92402451	83.32071199	118.1367465	55.90872018
PVP01_0421800	31.19930624	13.69442294	15.49952729	69.53047774	57.8417389	52.07021471	37.31771371
PVP01_0421500	25.51876029	17.45556726	15.87756454	14.79871655	41.57095609	61.9557254	30.39697408
PVP01_0420700	18.52731911	71.26886303	31.50310426	46.11875156	44.25295326	22.90306437	30.39697408
PVP01_0420300	38.7151055	31.2464298	23.94235923	56.53266321	71.96692398	31.71193528	37.86051682
PVP01_0420200	64.75822387	24.20633913	30.99905459	57.94206478	126.2326667	44.14223089	39.48892614
PVP01_0419800	10.05019669	9.740399412	12.85326654	8.378109367	10.37038905	11.2557795	16.41979403
PVP01_0419500	43.43432829	26.0386915	24.69843374	82.60659236	88.05890698	68.7091931	40.84593391
PVP01_0419300	54.1836691	22.85618476	18.27180047	46.35365183	178.4422115	184.0075257	137.4648872
PVP01_0419000	37.92856837	72.5225778	44.48238321	113.613427	86.53910859	64.2068813	135.8364779
PVP01_0418900	121.6510764	130.9649743	34.27537743	38.9934436	37.72676015	338.554272	922.7652845
PVP01_0418300	290.0574157	119.7779809	63.25823335	93.6469047	369.5792096	1417.249453	1681.875432
PVP01_0418200	73.2353463	58.44239647	21.29609848	22.0023246	33.43556468	84.36940805	90.7838199
PVP01_0418000	9.001480512	9.83683901	12.6012417	8.29980928	9.297590179	12.91967733	15.74129015
PVP01_0416300	30.06319705	17.26268807	13.98737829	38.21044272	92.70770207	92.10163918	77.89224607
PVP01_0415500	25.86833234	21.79534918	25.70653307	86.44329665	88.14830689	46.19763411	48.0380751
PVP01_0414900	246.5356944	268.77716	419.4953363	1107.476438	2682.533566	1033.280558	562.7511227
PVP01_0414800	941.135375	1101.43665	2241.634886	536.4338998	366.4502129	98.95298322	153.6132797
PVP01_0414600	65.45736799	42.91562117	44.86042046	167.4055872	317.6378645	274.7388961	151.7134688
PVP01_0414300	148.5681249	180.1491693	28.60481866	30.7719344	55.51734136	866.4013922	1745.383395
PVP01_0412900	52.61059483	21.02383239	21.42211089	68.66917678	214.5597734	225.3113426	84.40588337
PVP01_0412300	152.6755966	111.7734942	34.40138985	17.85241996	40.58755713	425.3705886	1281.965242
PVP01_0412100	37.57899631	25.55649351	25.45450824	29.28423274	38.88895892	50.0148115	61.20105048
PVP01_0411700	27.61619264	17.26268807	14.74345279	84.8772949	113.8060798	57.06190823	53.87320852
PVP01_0410700	184.486654	96.53603774	132.1870255	153.7030718	498.6726733	106.4894617	223.2277784
PVP01_0410400	36.26810109	37.22568488	26.96665724	52.22615839	39.24655854	34.64822558	44.37415412
PVP01_0410200	36.79245918	33.65741975	13.3573162	12.68461418	18.41638055	202.89766	281.307711
PVP01_0408400	317.5862153	301.3737442	247.2363622	120.2689345	80.10231539	251.34645	369.7846177
PVP01_0408000	12.06023603	14.08018133	13.98737829	9.474310593	13.23118602	27.6990052	21.71212434
PVP01_0407900	90.45177019	34.13961774	35.78752643	51.91295804	204.0105845	89.16534888	116.8383691
PVP01_0407200	2858.975082	3338.642448	6094.212512	3493.358406	1298.533628	550.6523082	409.4092446
PVP01_0406900	32.42280844	17.74488606	12.6012417	18.55712075	66.33472993	196.927203	115.3456606
PVP01_0406800	18.78949816	26.32801029	29.612918	21.14102364	22.97577573	19.47739235	23.20483289
PVP01_0406500	132.2256312	216.0246998	238.415493	145.0117621	130.2556624	45.61037605	51.70199608
PVP01_0405800	429.8862392	606.7979515	953.0319099	1116.011148	698.7496619	461.5848357	540.089093
PVP01_0405200	1274.36494	789.1652316	170.2427754	114.7879283	62.93753352	102.4765316	564.3795321
PVP01_0837900	22.6347908	15.8160941	13.3573162	59.89956697	42.46495514	43.75072552	46.40966578
PVP01_0837600	29.1892669	17.55200686	18.64983772	67.18147511	66.96052927	46.49126314	25.64744688
PVP01_0837100	31.98584337	23.43482235	25.95855791	30.61533423	24.58497403	64.8920157	54.14461007
