	Microscopy	Proportion of Reads
A_0	60.24096386	192.7870901
B_0	41.66666667	43.28857868
C_0	90.90909091	29.37380633
D_0	227.2727273	27.81052061
E_0	68.18181818	11.60540758
F_0	33.33333333	28.07670549
G_0	16.66666667	17.09150249
H_0	5.6	39.10642626
I_0	22.22222222	28.82374321
J_0	40	16.38808977
K_0	62.5	4.417319541
L_0	51.17647059	21.77883065
M_0	300	4.284926753
N_0	27.77777778	34.1939572
O_0	66.66666667	4.377067486
P_0	37.5	3.528568192
Q_0	42.85714286	19.40590915
S_0	8	3.811990421
T_0	50	10.07128896
U_0	20.58823529	5.428020004
