GeneID	Name	Exons	Size	A_0	A_1	AR_0	AR_1	B_0	B_1	BR_0	BR_1	C_0	C_1	CR_0	CR_1	D_0	D_1	DR_0	DR_1	E_0	E_1	ER_0	ER_1	F_0	F_1	FR_0	FR_1	G_0	G_1	H_0	H_1	I_0	I_1	J_0	J_1	K_0	K_1	KR_0	KR_1	L_0	L_1	M_0	M_1	N_0	N_1	O_0	O_1	P_0	P_1	Q_0	Q_1	S_0	S_1	T_0	T_1	U_0	U_1
PVP01_0100200	PIR protein	3	1518	0	4	5	3	77	38	52	0	487	70	17	36	110	16	34	32	6	0	0	0	369	44	24	0	16	4	4	1	0	0	79	5	65	0	64	10	147	5	9	0	22	2	19	0	9	0	48	7	5	0	3	4	209	25
PVP01_0100300	VIR protein	3	1401	0	0	83	20	11	3	160	7	14	1	373	329	127	15	16	1	3	0	0	2	264	58	19	6	41	3	2	0	2	0	99	15	107	4	33	0	977	26	0	0	20	2	2	0	26	0	0	0	0	0	6	0	59	2
PVP01_0100400	PIR protein%2C pseudogene	3	873	0	0	4	0	6	1	19	0	8	1	29	7	7	2	5	10	0	0	0	0	116	10	0	0	1	0	0	0	0	0	3	1	7	0	7	0	90	5	0	0	1	0	2	0	0	0	0	0	0	0	1	1	9	0
PVP01_0100500	PIR protein	3	1101	0	0	14	0	4	7	8	0	7	0	55	28	27	2	20	6	2	0	0	0	21	3	38	0	15	0	0	0	1	0	47	0	65	0	55	0	209	4	0	0	5	0	2	0	1	0	0	0	1	0	0	0	3	0
PVP01_0100600	PIR protein	3	963	0	0	20	10	2	2	56	0	41	3	24	8	23	4	22	19	0	1	7	0	9	0	0	0	15	2	0	0	4	0	54	2	81	0	8	0	141	3	1	0	13	0	6	0	15	0	0	0	0	0	2	0	9	0
PVP01_0100700	PIR protein	3	1179	0	0	10	3	4	0	3	0	2	0	11	11	40	0	6	5	0	0	0	0	2	0	0	0	17	2	0	0	21	0	4	0	56	0	61	10	190	4	0	0	14	2	2	0	0	0	0	1	0	0	0	2	0	0
PVP01_0100800	PIR protein	3	885	0	4	617	80	7	11	167	0	24	0	33	93	101	21	652	259	33	0	0	1	190	20	41	4	493	14	10	4	87	4	2434	45	286	11	758	18	827	21	0	0	16	0	19	0	290	14	74	8	1	0	30	6	191	0
PVP01_0101100	PIR protein	4	899	0	1	3	0	39	6	74	3	212	31	285	13	367	12	124	28	0	0	0	0	56	7	22	8	34	3	0	2	6	0	97	14	36	0	23	5	64	5	0	0	5	0	7	0	181	4	6	0	1	0	16	0	104	0
PVP01_0101200	PIR protein	3	1236	0	0	0	0	55	5	40	1	16	2	152	19	86	106	11	8	0	0	1	0	77	25	2	0	14	3	0	0	0	0	27	5	10	4	18	0	154	3	0	0	0	0	5	0	5	6	12	0	0	0	5	8	41	0
PVP01_0101300	PIR protein	4	1307	0	0	10	4	6	1	31	0	34	2	3	19	14	6	47	58	0	0	0	0	14	5	0	0	3	4	0	6	0	0	32	8	47	0	2	1	23	0	0	0	2	0	10	0	5	4	0	2	3	0	1	0	17	0
PVP01_0101700	PIR protein	3	879	0	0	0	2	0	2	5	0	8	0	18	5	6	1	11	3	0	0	0	0	0	1	0	0	3	0	0	0	0	0	28	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PVP01_0102400	VIR protein	3	1260	13	22	205	199	187	96	426	28	2307	221	990	433	928	176	805	404	69	6	10	6	767	118	77	11	1116	32	26	12	20	1	5021	95	802	13	1132	20	856	22	4	2	126	3	71	0	408	19	118	10	32	0	66	4	706	6
