GeneID	Name	Exons	Size	A_0	A_1	AR_0	AR_1	B_0	B_1	BR_0	BR_1	C_0	C_1	CR_0	CR_1	D_0	D_1	DR_0	DR_1	E_0	E_1	ER_0	ER_1	F_0	F_1	FR_0	FR_1	G_0	G_1	H_0	H_1	I_0	I_1	J_0	J_1	K_0	K_1	KR_0	KR_1	L_0	L_1	M_0	M_1	N_0	N_1	O_0	O_1	P_0	P_1	Q_0	Q_1	S_0	S_1	T_0	T_1	U_0	U_1
PVP01_0100200	PIR protein	3	1518	0	12.42823409	4.825941104	7.583127488	46.49222145	38.27621148	22.96120858	0	35.14117989	39.86620576	3.481590145	7.350104064	19.43549133	14.13612506	7.096225039	18.14740525	13.24120954	0	0	0	79.1775491	48.61127179	51.55532988	0	6.225012299	18.57848938	18.70426848	10.47924852	0	0	12.54854895	7.33101697	11.5469167	0	42.04508791	73.00545947	34.35991798	19.70493259	115.8544792	0	54.68024058	29.48794739	23.01252356	0	2.038465845	0	56.46806931	77.93800088	16.97906427	0	5.916327318	101.6740017	80.83754555	205.5546601
PVP01_0100300	VIR protein	3	1401	0	0	86.80080278	54.77605295	7.196409927	3.274162573	76.54996898	43.72498748	1.094583885	0.617078621	82.76966379	72.78141946	24.31309215	14.35936686	3.618279249	0.614466479	7.17350324	0	0	58.79330133	61.37807327	69.4298036	44.22313896	24.21075562	17.28373998	15.09750904	10.13314759	0	8.210718983	0	17.03865262	23.82972968	20.59539331	45.2442116	23.4899919	0	247.4360555	111.022738	0	0	53.86062241	31.95053828	2.624667401	0	6.380693946	0	0	0	0	0	12.82082065	0	24.72592118	17.81767161
PVP01_0100400	PIR protein%2C pseudogene	3	873	0	0	6.713199171	0	6.299387884	1.751470701	14.58822755	0	1.003771574	0.990294556	10.3272395	2.485115368	2.150593886	3.072542645	1.814579477	9.861025621	0	0	0	0	43.28039395	19.21064005	0	0	0.676515512	0	0	0	0	0	0.828600518	2.549480816	2.162261641	0	7.996332763	0	36.57925205	34.26355977	0	0	4.321805956	0	4.212095107	0	0	0	0	0	0	0	3.429165662	44.19849216	6.052946981	0
PVP01_0100500	PIR protein	3	1101	0	0	18.63049961	0	3.329921661	9.721378248	4.870413558	0	0.696417812	0	15.53015768	7.88194629	6.577351561	2.436266784	5.755233002	4.691376222	6.085424184	0	0	0	6.212686448	4.569724459	112.5460812	0	8.046294849	0	0	0	5.223986056	0	10.29316011	0	15.92027207	0	49.81755775	0	67.35433032	21.73448696	0	0	17.13413533	0	3.33983563	0	0.312280871	0	0	0	4.681965405	0	0	0	1.599825224	0
PVP01_0100600	PIR protein	3	963	0	0	30.4289869	39.84488587	1.903553348	3.1755637	38.97848109	0	4.663550878	2.69323099	7.747925733	2.574698966	6.405841067	5.570778254	7.237967486	16.98492544	0	17.54938343	113.4391632	0	3.044133413	0	0	0	9.199346447	14.64285923	0	0	23.8903786	0	13.52090191	4.622423161	22.68209575	0	8.284585079	0	51.95165424	18.63681475	20.29157719	0	50.93268515	0	11.45532408	0	5.355471015	0	0	0	0	0	6.217365779	0	5.487251001	0
PVP01_0100700	PIR protein	3	1179	0	0	12.42710534	9.763517834	3.1096215	0	1.705574213	0	0.185812677	0	2.900543444	2.891622789	9.099568458	0	1.612343902	3.65083773	0	0	0	0	0.552539907	0	0	0	8.515832665	11.960198	0	0	102.4459556	0	0.818058526	0	12.80851171	0	51.59683856	93.99685112	57.18028968	20.29658197	0	0	44.80162205	37.96667017	3.118879583	0	0	0	0	14.3353793	0	0	0	65.45425556	0	0
PVP01_0100800	PIR protein	3	885	0	21.31758118	1021.470145	346.8531081	7.249634531	19.0049414	126.4842274	0	2.970483337	0	11.59234143	32.56885095	30.60925176	31.82425102	233.4127413	251.9375051	124.9162242	0	0	46.53639274	69.92907603	37.9003136	151.0687675	25.55123814	328.9998132	111.5339142	80.20643943	71.89830172	565.4123755	433.8144765	663.1556781	113.1710213	87.14595029	196.9656907	854.1477425	225.4012627	331.565087	141.9556703	0	0	68.21128316	0	39.47232855	0	112.6645869	190.6650862	149.321355	152.7811272	5.824682386	0	101.480055	261.5951434	126.7151963	0
PVP01_0101100	PIR protein	4	899	0	5.246401374	4.889284936	0	39.76182041	10.20489825	55.17409263	29.20326115	25.83064904	29.81128096	98.55658867	4.481737536	109.4916456	17.90208941	43.70007955	26.81233707	0	0	0	0	20.28970791	13.05853408	79.79893385	50.30666463	22.33629969	23.52793121	0	35.38931981	38.38670955	0	26.01658155	34.6604611	10.79859508	0	25.51380352	61.6364224	25.25962144	33.27262255	0	0	20.98407453	0	14.31596952	0	69.22318609	53.62739593	11.91859416	0	5.73397543	0	53.27985091	0	67.92227936	0
PVP01_0101200	PIR protein	3	1236	0	0	0	0	40.78547859	6.185412304	21.69225456	7.080294436	1.417949166	1.398911242	38.23187625	4.764286709	18.66184556	115.0189932	2.819645101	5.571958166	0	0	12.62620367	0	20.29175986	33.92170058	5.276496141	0	6.689621834	17.1129532	0	0	0	0	5.267244554	9.003627637	2.181754985	51.28409422	14.52315916	0	44.20880802	14.52043091	0	0	0	0	7.437619393	0	1.390862618	58.50853026	17.33789021	0	0	0	12.11028165	249.7429363	19.47618944	0
PVP01_0101300	PIR protein	4	1307	0	0	11.21006671	11.74311403	4.207624807	1.169880583	15.89824839	0	2.849459437	1.322918359	0.713585738	4.505476949	2.872943324	6.15683947	11.39311561	38.20223193	0	0	0	0	3.488991471	6.415795243	0	0	1.355619071	21.57777114	0	73.02601035	0	0	5.90354095	13.62323949	9.697208154	0	1.526024375	8.479134466	6.243941188	0	0	0	5.773430145	0	14.06717302	0	1.315306959	36.88678572	0	25.86291077	11.83208243	0	2.290483261	0	7.636809159	0
