GeneID	Name	Exons	Size	A_0	A_1	B_0	B_1	C_0	C_1	D_0	D_1	E_0	E_1	F_0	F_1	G_0	G_1	H_0	H_1	I_0	I_1	J_0	J_1	K_0	K_1	KR_0	KR_1	L_0	L_1	M_0	M_1	N_0	N_1	O_0	O_1	P_0	P_1	Q_0	Q_1	S_0	S_1	T_0	T_1	U_0	U_1	
PVP01_0100200	PIR protein	3	1518	0	4	38	38	59	70	39	16	0	0	52	44	2	4	3	1	0	0	9	5	0	0	10	10	8	5	2	0	0	2	3	0	0	0	10	7	1	0	2	4	7	25	
PVP01_0100300	VIR protein	3	1401	0	0	8	3	1	1	33	15	3	0	55	58	6	3	2	0	0	0	6	15	3	4	3	0	48	26	0	0	0	2	0	0	2	0	0	0	0	0	0	0	4	2	
PVP01_0100400	PIR protein%2C pseudogene	3	873	0	0	4	1	0	1	2	2	0	0	26	10	0	0	0	0	0	0	2	1	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
PVP01_0100500	PIR protein	3	1101	0	0	1	7	1	0	8	2	0	0	7	3	3	0	0	0	0	0	2	0	3	0	14	0	9	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PVP01_0100600	PIR protein	3	963	0	0	2	2	0	3	7	4	0	1	1	0	0	2	0	0	0	0	6	2	0	0	2	0	10	3	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	
PVP01_0100700	PIR protein	3	1179	0	0	2	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	8	10	12	4	0	0	2	2	1	0	0	0	0	1	0	0	0	2	1	0	
PVP01_0100800	PIR protein	3	885	0	4	7	11	4	0	32	21	5	0	42	20	45	14	8	4	11	4	264	45	4	11	95	18	47	21	0	0	0	0	0	0	8	14	3	8	0	0	3	6	11	0	
PVP01_0101100	PIR protein	4	899	0	1	22	6	18	31	98	12	0	0	6	7	2	3	0	2	0	0	7	14	0	0	4	5	5	5	0	0	1	0	1	0	8	4	1	0	0	0	2	0	4	0	
PVP01_0101200	PIR protein	3	1236	0	0	33	5	0	2	14	106	0	0	9	25	1	3	0	0	0	0	4	5	0	4	3	0	9	3	0	0	0	0	0	0	0	6	1	0	0	0	3	8	2	0	
PVP01_0101300	PIR protein	4	1307	0	0	4	1	6	2	4	6	0	0	5	5	1	4	0	6	0	0	4	8	0	0	0	1	2	0	0	0	0	0	2	0	0	4	0	2	0	0	0	0	2	0	
PVP01_0101700	PIR protein	3	879	0	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PVP01_0102400	VIR protein	3	1260	13	22	113	96	239	221	200	176	13	6	136	118	86	32	15	12	0	1	574	95	27	13	143	20	31	22	2	2	19	3	4	0	13	19	4	10	3	0	4	4	44	6	
PVP01_0102500	Plasmodium exported protein (PHIST)%2C unknown function%2C pseudogene	3	1992	8	24	28	35	68	43	88	29	8	0	20	27	42	17	2	0	1	2	236	41	2	2	58	9	45	17	2	2	24	4	0	0	0	2	4	4	0	0	9	0	30	20	
PVP01_0102600	small exported membrane protein 1%2C putative	1	344	49	68	137	82	507	239	703	197	97	26	158	144	276	37	17	6	20	12	1408	224	27	15	385	70	171	76	3	4	98	18	9	0	37	24	15	2	6	0	47	3	106	24	
PVP01_0102800	chitinase	1	1952	0	4	13	33	81	64	0	2	0	0	370	4	4	5	0	0	0	0	4	6	0	0	0	7	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	
PVP01_0103000	tRNA Tyrosine	1	83	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
PVP01_0103200	conserved Plasmodium protein%2C unknown function	1	5498	10	64	266	104	217	380	279	357	16	6	251	151	52	45	20	4	0	0	53	176	16	22	24	4	14	21	0	0	3	8	6	2	22	32	25	11	4	0	6	3	30	15	
PVP01_0103300	conserved Plasmodium protein%2C unknown function	1	536	17	26	129	138	408	275	83	113	0	6	59	73	10	12	4	10	0	0	44	42	6	4	23	14	21	26	0	0	3	6	4	2	10	7	8	6	0	0	2	0	23	10	
PVP01_0103500	conserved Plasmodium protein%2C unknown function	1	431	0	15	63	81	205	178	100	79	0	4	62	48	16	12	4	3	0	2	59	77	18	2	5	11	16	14	0	0	2	3	2	0	14	11	5	5	1	0	2	1	7	4	
PVP01_0103700	erythrocyte membrane-associated antigen%2C putative	1	6986	57	319	665	356	603	584	666	859	63	47	540	461	118	207	75	18	14	10	267	626	71	61	63	63	188	103	2	10	48	20	14	3	122	66	25	30	6	0	63	30	80	22	
PVP01_0103800	conserved Plasmodium protein%2C unknown function	9	779	0	2	79	156	214	132	17	45	0	0	94	102	5	0	6	8	0	0	26	16	1	3	23	3	25	21	1	0	5	3	6	0	1	13	13	4	4	0	0	0	20	7	
PVP01_0104000	conserved Plasmodium protein%2C unknown function	1	3122	3	21	267	355	931	480	85	52	12	3	63	128	36	14	17	14	4	2	99	48	15	5	129	38	70	36	8	0	31	32	10	2	8	4	50	49	4	4	0	0	163	42	
PVP01_0104300	conserved Plasmodium protein%2C unknown function	1	10328	4	68	1196	1675	3142	4125	58	319	12	12	209	567	77	76	92	107	1	12	137	199	20	43	80	49	177	259	4	0	42	67	34	6	4	16	163	132	25	9	6	8	127	51	
PVP01_0104500	conserved Plasmodium protein%2C unknown function	1	5912	6	36	305	156	245	293	259	430	5	14	313	302	60	44	25	4	4	0	59	221	9	28	49	8	34	14	2	0	2	6	2	0	26	39	5	8	2	0	1	20	31	4	
PVP01_0104600	phosphoinositide-binding protein%2C putative	1	2417	16	115	769	1150	1871	2429	262	669	17	27	438	515	75	75	46	67	2	11	134	252	29	29	68	43	101	148	11	0	22	31	14	2	28	51	104	115	18	4	12	6	99	42	
